Images,Vegan or/and  Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugar,Sodium (mg),Ingredients ,id
https://readyfitgo.com/assets/products/1655460609_cranberry-almond-salad_62ac53010cb6a-m.jpg,,Snack,Cranberry Almond Salad*,431,43,31,15,0,0,"Allergens: Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, dried cranberries, almonds, feta cheese, balsamic vinaigrette dressing, paprika, salt",58
https://readyfitgo.com/assets/products/1655460615_cranberry-side-salad_62ac530785b77-m.jpg,Vegetarian,Snack,Cranberry Side Salad*,225,10,28,6,22,544,"Allergens: Milk | Ingredients for Consumer Use: mixed greens, craisins, olive oil, balsamic vinegar, salt, almonds, feta cheese",59
https://readyfitgo.com/assets/products/1655460922_steak-snack-tacos-3_62ac543a53dce-m.jpg,,,Crazy Cow Tacos*,229,21,21,8,3,451,"Allergens: | Ingredients for Consumer Use: corn, steak, tomatoes, onions, jalapeño, lime",60
https://readyfitgo.com/assets/products/1655460787_dill-salmon_62ac53b30ec72-m.jpg,,,Dill Salmon (L)*,609,49,66,16,0,0,"Salmon, Citrus seasoning, Brown rice, Broccoli, and Dill sauce",61
https://readyfitgo.com/assets/products/1655460787_dill-salmon_62ac53b30ec72-m.jpg,,,Dill Salmon (S)*,488,33,64,11,0,0,"Salmon, Citrus seasoning, Brown rice, Broccoli, and Dill sauce",62
https://readyfitgo.com/assets/products/1655461014_fajita-steak-bowl-3_62ac5496a8f43-m.jpg,,,Fajita Steak Bowl (L)*,658,44,83,16,5,1545,"Allergens: Milk | Ingredients for Consumer Use: steak, rice, beans, cheese, tomatoes, onions, bell peppers",63
https://readyfitgo.com/assets/products/1655461014_fajita-steak-bowl-3_62ac5496a8f43-m.jpg,,,Fajita Steak Bowl (S)*,530,35,69,13,4,1273,"Allergens: Milk | Ingredients for Consumer Use: steak, rice, beans, cheese, tomatoes, onions, bell peppers",64
https://readyfitgo.com/assets/products/1655460877_fit-energy-bar_62ac540d31eee-m.jpg,Vegetarian,Breakfast and Snack,Fit Energy Bar*,388,11,44,21,21,99,"Allergens: Peanuts | Ingredients for Consumer Use: peanuts, yoghurt, strawberries, blueberries, granola, honey, coconut oil, craisins",65
https://readyfitgo.com/assets/products/1685646281_11-imgl3814_6478ebc97cded-m.jpg,,Breakfast,Good Morning Sunshine (L)*,615,37,51,28,3,941,"Allergens: Eggs, Milk | Ingredients for Consumer Use: Brown rice, scrambled eggs, ground turkey, cheese, tomatoes, onions, taco seasoning",66
https://readyfitgo.com/assets/products/1685646281_11-imgl3814_6478ebc97cded-m.jpg,,Breakfast,Good Morning Sunshine (S)*,504,30,41,24,3,804,"Allergens: Eggs, Milk | Ingredients for Consumer Use: Brown rice, scrambled eggs, ground turkey, cheese, tomatoes, onions, taco seasoning",67
https://readyfitgo.com/assets/products/1684529747_995a3443_1_6467e25315a66-m.jpg,,Breakfast,Ham & Cheese English Muffin*,408,21,41,19,6,883," ham, cheese, eggs, yams, peppers, onions",68
https://readyfitgo.com/assets/products/1704050364_honeygarlicsalmon_6591bebc83258-m.jpg,,,Honey Garlic Salmon (L)*,433,42,18,22,10,217,"Salmon, Green Beans, Honey, Garlic, Cauliflower, Olive Oil",69
https://readyfitgo.com/assets/products/1704050364_honeygarlicsalmon_6591bebc83258-m.jpg,,,Honey Garlic Salmon (S)*,345,33,18,16,10,192,"Salmon, Green Beans, Honey, Garlic, Cauliflower, Olive Oil",70
https://readyfitgo.com/assets/products/1655460928_its-a-wrap-3_62ac544066ecd-m.jpg,,Snack,It's A Wrap*,346,34,30,10,12,380,"wheat spinach tortilla, red grapes, chicken, celery, cranberries, mayonaise, vanilla yogurt",71
https://readyfitgo.com/assets/products/1695070667_koreanbeef_6508b9cb63459-m.jpg,,,Korean Beef (L)*,571,38,50,23,11,406,"White Rice, Ground Beef, Carrots, Cucumbers, Green Onions, Egg",72
https://readyfitgo.com/assets/products/1695070667_koreanbeef_6508b9cb63459-m.jpg,,,Korean Beef (S)*,452,29,40,18,9,312,"White Rice, Ground Beef, Carrots, Cucumbers, Green Onions, Egg",73
https://readyfitgo.com/assets/products/1655460967_lean-lemon-turkey-3_62ac54678f695-m.jpg,,,Lean Lemon Turkey (L)*,555,49,38,23,2,154,"brown rice, asparagus, lemon, turkey, lemon pepper spice",74
https://readyfitgo.com/assets/products/1655460967_lean-lemon-turkey-3_62ac54678f695-m.jpg,,,Lean Lemon Turkey (S)*,342,30,24,14,0,95,"brown rice, asparagus, lemon, turkey, lemon pepper spice",75
https://readyfitgo.com/assets/products/1655460813_lemon-pepper-chicken_62ac53cd5f7e8-m.jpg,,,Lemon Pepper Chicken (L)*,370,45,25,10,2,248,"Allergens: | Ingredients for Consumer Use: chicken thighs, lemon pepper seasoning, spinach, red potatoes",76
https://readyfitgo.com/assets/products/1655460801_loaded-potato-2_62ac53c125895-m.jpg,,,Loaded Potato*,335,19,40,11,10,551,"Mashed Potatoes, Kidney Beans, Ground Turkey, Onion, Tomato, Sour Cream, Salt, Pepper, Olive Oil",77
https://readyfitgo.com/assets/products/1655460980_look-good-naked-chicken-2_62ac547491a85-m.jpg,,,Look Good Naked Chicken (L)*,219,27,21,3,7,1034,"Allergens: | Ingredients for Consumer Use: chicken breast, zucchini, yellow and green squash",78
https://readyfitgo.com/assets/products/1655460980_look-good-naked-chicken-2_62ac547491a85-m.jpg,,,Look Good Naked Chicken (S)*,177,20,20,2,7,909,"Allergens: | Ingredients for Consumer Use: chicken breast, zucchini, yellow and green squash",79
https://readyfitgo.com/assets/products/1655460833_mushroom-swiss-burger-2_62ac53e188118-m.jpg,,,Mushroom Swiss Burger*,481,47,8,29,1,465,"swiss cheese, ground beef, spinach, red onion, tomatoes, mushrooms, olive oil, salt",80
https://readyfitgo.com/assets/products/1682708304_995a5073_644c1750c366f-m.jpg,Vegetarian,Breakfast and Snack,Peach Yogurt Parfait*,341,15,50,9,35,95,"Allergens: Milk | Ingredients for Consumer Use: yogurt, frozen peaches, granola",81
https://readyfitgo.com/assets/products/1684529275_995a8346-2_6467e07b1dd9a-m.jpg,Vegetarian,Breakfast and Snack,Peanut Butter Chocolate Chip GoGo Bites*,530,20,45,30,0,0,"Allergens: Peanuts | Ingredients for Consumer Use: rolled oats, Orgain protein powder, peanut butter, flaxseed, vanilla, cinnamon, chocolate chips, honey, coconut milk",82
https://readyfitgo.com/assets/products/1655460903_pepper-steak_62ac54279420c-m.jpg,,,Pepper Steak*,350,32,33,10,0,0,"Allergens: | Ingredients for Consumer Use: tri-tip, green peppers, red peppers, yellow peppers, brown rice, Worcestershire sauce, teriyaki sauce, olive oil, steak seasoning, garlic",83
https://readyfitgo.com/assets/products/1655460869_pot-roast-potatoes_62ac540571bd5-m.jpg,,,Pot Roast & Potatoes (L)*,409,41,23,17,5,149,"Allergens: | Ingredients for Consumer Use: pot roast, carrots, red potatoes",84
https://readyfitgo.com/assets/products/1655460869_pot-roast-potatoes_62ac540571bd5-m.jpg,,,Pot Roast & Potatoes (S)*,277,25,15,13,5,120,"Allergens: | Ingredients for Consumer Use: pot roast, carrots, red potatoes",85
https://readyfitgo.com/assets/products/1655461000_raspberry-greek-yogo-parfait-2_62ac5488f184f-m.jpg,Vegetarian,Breakfast and Snack,Raspberry Yogurt Parfait*,330,16,44,10,29,94,"Allergens: Milk | Ingredients for Consumer Use: Low Fat Greek Yogurt, Raspberries, Granola",86
https://readyfitgo.com/assets/products/1655461083_salmon-alfredo_62ac54dbc878c-m.jpg,,,Salmon Alfredo (L)*,719,40,70,31,1,591,"Salmon, gluten free penne pasta, Alfredo sauce, parmesan cheese, teriyaki sauce",87
https://readyfitgo.com/assets/products/1655461083_salmon-alfredo_62ac54dbc878c-m.jpg,,,Salmon Alfredo (S)*,505,26,53,21,1,416,"Salmon, gluten free penne pasta, Alfredo sauce, parmesan cheese, teriyaki sauce",88
https://readyfitgo.com/assets/products/1655460773_sheperds-pie_62ac53a553688-m.jpg,,,Shepard's Pie (L)*,495,36,43,21,6,561,"Ground Turkey, Carrots, Green Peas, Shredded Cheese, Mashed Potatoes",89
https://readyfitgo.com/assets/products/1655460773_sheperds-pie_62ac53a553688-m.jpg,,,Shepard's Pie (S)*,370,26,32,16,5,433,"Ground Turkey, Carrots, Green Peas, Shredded Cheese, Mashed Potatoes",90
https://readyfitgo.com/assets/products/1685646715_12-imgl3819_6478ed7b539a8-m.jpg,,,Shrimp Fried Rice (L)*,443,36,36,16,1,0,"Shrimp, Brown rice, Scrambled eggs, Carrots, Green peas, Chicken apple sausage",91
https://readyfitgo.com/assets/products/1685646715_12-imgl3819_6478ed7b539a8-m.jpg,,,Shrimp Fried Rice (S)*,349,27,28,14,1,0,"Shrimp, Brown rice, Scrambled eggs, Carrots, Green peas, Chicken apple sausage",92
https://readyfitgo.com/assets/products/1655460645_shrimp-tacos_62ac5325e3297-m.jpg,,,Shrimp Tacos*,272,28,31,4,2,964,"corn tortilla, cabbage, onion, shrimp, jalepeno ranch dressing",93
https://readyfitgo.com/assets/products/1655460909_southern-shrimp-and-grits_62ac542ddcfe6-m.jpg,,,Shrimp N' Grits*,317,21,38,10,2,998,"grits, mushrooms, asparagus, cheddar cheese, shrimp",94
https://readyfitgo.com/assets/products/1655461048_southwest-chicken-stuffed-pepper-3_62ac54b817087-m.jpg,,,Southwest Chicken Stuffed Peppers*,369,17,55,9,0,0,"Chicken Thighs, Red Salsa, Pico De Gallo, Cheddar Cheese, Spanish Rice",95
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Southwest Scrambler (L)*,464,33,8,32,3,721,"Allergens: Eggs, Milk | Ingredients for Consumer Use: eggs, ground turkey, corn, jalapenos, bell peppers, cheddar cheese, salsa",96
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Southwest Scrambler (S)*,310,22,7,21,3,502,"Allergens: Eggs, Milk | Ingredients for Consumer Use: eggs, ground turkey, corn, jalapenos, bell peppers, cheddar cheese, salsa",97
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,Breakfast,Steak & Eggs (L)*,469,40,33,19,4,1042,"Allergens: Eggs | Ingredients for Consumer Use: steak, eggs, red potatoes",98
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,Breakfast,Steak & Eggs (S)*,369,31,25,16,4,769,"Allergens: Eggs | Ingredients for Consumer Use: steak, eggs, red potatoes",99
https://readyfitgo.com/assets/products/1655460960_caveman-copy_62ac5460456ad-m.jpg,,,Steak & Sweet Potato (L)*,332,35,30,8,0,0,"Beef tri-tip, mashed sweet potatoes, broccoli, gluten-free teriyaki marinade, steak seasoning, and Worcestershire sauce. ",100
https://readyfitgo.com/assets/products/1655460960_caveman-copy_62ac5460456ad-m.jpg,,,Steak & Sweet Potato (S)*,250,25,24,6,0,0,"Beef tri-tip, mashed sweet potatoes, broccoli, gluten-free teriyaki marinade, steak seasoning, and Worcestershire sauce. ",101
https://readyfitgo.com/assets/products/1655460826_steak-salad_62ac53dad143c-m.jpg,,Snack,Steak Salad*,507,46,27,23,17,874,"Organic Spring Mix, Bleu Cheese, Cherry Tomatoes, Balsamic Vinegar Dressing, Tri Tip Steak, Red Onions",102
https://readyfitgo.com/assets/products/1655460763_steel-cut-oats_62ac539b3e035-m.jpg,Vegetarian,Breakfast and Snack,Steel Cut Oats*,366,11,67,6,10,22,"Allergens: Gluten | Ingredients for Consumer Use: Steel Cut Oats, Strawberries, Blueberries, Almond Milk",103
https://readyfitgo.com/assets/products/1655460953_sweet-potato-smart-chicken-2_62ac5459a52a2-m.jpg,,,Sweet Potato Chicken (L)*,311,30,41,4,12,511,"Allergens: | Ingredients for Consumer Use: chicken, yams, broccoli",104
https://readyfitgo.com/assets/products/1655460953_sweet-potato-smart-chicken-2_62ac5459a52a2-m.jpg,,,Sweet Potato Chicken (S)*,247,22,35,3,10,378,"Allergens: | Ingredients for Consumer Use: chicken, yams, broccoli",105
https://readyfitgo.com/assets/products/1655460820_taco-rice_62ac53d4a2e42-m.jpg,,,Taco Rice (L)*,609,50,46,25,1,414,"ground turkey, taco seasoning, brown rice, cheddar cheese, green onion",106
https://readyfitgo.com/assets/products/1655460820_taco-rice_62ac53d4a2e42-m.jpg,,,Taco Rice (S)*,468,36,36,20,0,0,"ground turkey, taco seasoning, brown rice, cheddar cheese, green onion",107
https://readyfitgo.com/assets/products/1684518087_995a3503_6467b4c72488e-m.jpg,,,Taco Salad*,610,46,30,34,5,315,"Allergens: | Ingredients for Consumer Use: spring mix, ground turkey, kidney beans, tomatoes, corn, bbq sauce, jalapeno ranch dressing",108
https://readyfitgo.com/assets/products/1655460859_teriyaki-chicken-3_62ac53fb1b6b0-m.jpg,,,Teriyaki Chicken Bowl (L)*,419,45,44,7,2,152,"Allergens: | Ingredients for Consumer Use: chicken breast, brown rice, broccoli, teriyaki sauce",109
https://readyfitgo.com/assets/products/1655460859_teriyaki-chicken-3_62ac53fb1b6b0-m.jpg,,,Teriyaki Chicken Bowl (S)*,305,34,31,5,3,104,"Allergens: | Ingredients for Consumer Use: chicken breast, brown rice, broccoli, teriyaki sauce",110
https://readyfitgo.com/assets/products/1655460693_turkey-meatball-zoodles_62ac53555578a-m.jpg,,,Turkey Meatball Zoodles (L)*,385,34,24,17,11,750,"zucchini noodles, marinara, ground turkey, parmesan cheese, parsley",111
https://readyfitgo.com/assets/products/1655460693_turkey-meatball-zoodles_62ac53555578a-m.jpg,,,Turkey Meatball Zoodles (S)*,293,23,21,13,6,467,"zucchini noodles, marinara, ground turkey, parmesan cheese, parsley",112
https://readyfitgo.com/assets/products/1655461090_turkey-chili-mac_62ac54e28e3bd-m.jpg,,,Turkeylicious Chili (L),474,43,46,14,0,380,"ground turkey, onion, kidney beans, diced tomato, tomato puree",113
https://readyfitgo.com/assets/products/1685320013_995a0311_6473f14d0e793-m.jpg,Vegan and Vegetarian,,Vegan Carrot Curry (L),560,12,77,14,0,0,"Chick peas, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime",114
https://readyfitgo.com/assets/products/1685320013_995a0311_6473f14d0e793-m.jpg,Vegan and Vegetarian,,Vegan Carrot Curry (S),440,14,60,11,0,0,"Chick peas, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime",115
https://readyfitgo.com/assets/products/1655460455_vegan-enchilada_62ac52675c982-m.jpg,Vegan and Vegetarian,,Vegan Enchilada,415,18,46,19,0,0,"Allergens: | Ingredients for Consumer Use: corn tortilla, cilantro lime beyond meat, enchilada sauce, vegan almond cheese, red salsa, rice ",116
https://readyfitgo.com/assets/products/1655461034_veggie-mac-3_62ac54aaeaeb6-m.jpg,Vegan and Vegetarian,,Vegan Get Yo Mac On,689,30,84,26,0,529,"Allergens: | Ingredients for Consumer Use: gluten free elbow pasta, beyond meat, onion, vegan almond cheese",117
https://readyfitgo.com/assets/products/1655460739_vegan-lasagna_62ac538377154-m.jpg,Vegan and Vegetarian,,Vegan Lasagna,452,19,71,13,0,490,"Allergens: | Ingredients for Consumer Use: gluten free lasagna, zucchini, mushrooms, red onion, spinach, yeast, garlic, black pepper, paprika, garlic, almond cheese",118
https://readyfitgo.com/assets/products/1685320342_995a0314_6473f296c4f1a-m.jpg,Vegan and Vegetarian,,Vegan Tikki Masala (L),472,14,68,16,0,0,"Chick pea, Cauliflower, Bell pepper, Coconut milk, Tomato, Brown rice, Cilantro, Lime",119
https://readyfitgo.com/assets/products/1685320342_995a0314_6473f296c4f1a-m.jpg,Vegan and Vegetarian,,Vegan Tikki Masala (S),360,11,52,12,0,0,"Chick pea, Cauliflower, Bell pepper, Coconut milk, Tomato, Brown rice, Cilantro, Lime",120
https://readyfitgo.com/assets/products/1655460733_vegan-vinnys-pasta_62ac537d8358b-m.jpg,Vegan and Vegetarian,,Vegan Turkey Fit Pasta,502,26,50,22,0,896,"Allergens: | Ingredients for Consumer Use: Gluten Free Elbow Pasta, Beyond Burger, Marinara Sauce, Vegan Parmesan Cheese",121