Images,Vegan or/and Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugars,Sodium(mg),Ingredients
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American Large,534,44,50,18,5,872,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), 
Sausage chicken apple, Egg scrambled"
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American Small,430,32,42,15,4,620,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), 
Egg scrambled, Sausage chicken apple"
https://readyfitgo.com/assets/products/1686865395_995a5014_648b85f318a02-m.jpg,,Snack,Angry Bird Snack Tacos,360,28,42,10,1,269,"Chicken Thighs* (Chicken Thigh, Water, Onions, Cilantro leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper)), 
Tortillas, Pico de Gallo* (Red Tomatoes, Jalapeno, Cilantro fresh, Salt, Black Pepper), Lime"
https://readyfitgo.com/assets/products/1685130504_995a4874_64710d085ad4a-m.jpg,Vegan and Vegetarian,,Asian Citrus Salad,540,42,28,30,15,860,"Salad Mix* (Lettuce), Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Mango Salsa* (Mangos, Jalapeno, Bell Pepper ),Vinaigrette Dressing, Carrots, Almonds, Black Sesame Seed"
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Large,358,35,41,5,1,438,"Chicken, Garlic Powder, Paprika, Onion Powder, Sea Salt , Black Pepper, Parsley, Brown Rice, Broccoli"
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Small,303,26,40,4,1,309,"Brown Rice, Chicken, Garlic Powder, Paprika, Onion Powder, Sea Salt , Black Pepper, Parsley, Broccoli"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon Large,552,43,44,22,2,804,"Salmon Citrus 6oz* (Salmon, Lemon Pepper , Dried dill weed), Brown Rice, Broccoli, Lemon"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon Small,465,34,44,17,2,613,"Brown Rice, Salmon Citrus 6oz* (Salmon, Lemon Pepper , Dried dill weed), Broccoli, Lemon"
https://readyfitgo.com/assets/products/1686523361_995a0278_1_64864de161fd4-m.jpg,,,BBQ Chicken Cauliflower Pizza (2 Servings/ Amount per serving),740,58,73,32,19,1580,"Chicken Thigh, Water, Onions, Coriander leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper), 
Cauliflower Pizza Crust, Cheddar Cheese, Barbecue Sauce, Green Onions"
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken Large,398,38,38,12,7,354,"BBQ Chicken* (Chicken Thigh, Barbecue Sauce), Red Potatoes prepared* (Potatoes, Red Potato Seasoning* 
(Garlic Powder, Paprika, Sea Salt , Black Pepper)), Spinach"
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken Small,322,28,36,8,6,294,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), 
BBQ Chicken* (Chicken Thigh, Barbecue Sauce), Spinach"
https://readyfitgo.com/assets/products/1685646605_13-imgl3821_6478ed0dda690-m.jpg,,,Beef & Broccoli Large,440,46,16,22,4,347,"Broccoli, Teriyaki Beef* (Beef, Teriyaki Sauce Gluten Free* (Water, Soy Sauce, Rice Vinegar , Dark Brown Sugar , 
Gluten Free Flour , Garlic Powder, Ground ginger), Steak Seasoning )"
https://readyfitgo.com/assets/products/1655461129_beyond-burger_62ac55094b1b7-m.jpg,Vegan and Vegetarian,,Beyond Burger,776,31,106,28,35,1500,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), 
Beyond Burger Patty, UDI'S, Gluten Free Burger Bun, Barbecue Sauce, Vegan Cheese"
https://readyfitgo.com/assets/products/1655460452_bison-breakfast-1_62ac526411612-m.jpg,,Breakfast,Bison Breakfast,421,38,30,17,9,232,"Sweet potato, Bison, ground, grass-fed, cooked, Egg"
https://readyfitgo.com/assets/products/1655460652_blackened-salmon_62ac532c6ddd4-m.jpg,,,Blackened Salmon Large,409,41,13,22,5,559,"Salmon, Blackened Seasoning* (Paprika, Onion Powder, Cayenne Pepper, Sea Salt , Black Pepper, Garlic Powder, Oregano, Parsley), 
Cauliflower mashed* (Cauliflower, Unsweetened Almond Milk, Jalapeno, Sea Salt , Black Pepper, Garlic, Squash, Carrots, Sea Salt, Lemon"
https://readyfitgo.com/assets/products/1655460652_blackened-salmon_62ac532c6ddd4-m.jpg,,,Blackened Salmon Small,323,32,13,17,6,539,"Cauliflower, Unsweetened Almond Milk, Jalapeno, Sea Salt , Black Pepper, Garlic, Salmon, Blackened Seasoning* 
(Paprika, Onion Powder, Cayenne Pepper, Garlic Powder, Oregano, Parsley), Squash, Carrots, Sea Salt, Lemon"
https://readyfitgo.com/assets/products/1655461122_blueberry-greek-yogurt-parfait_62ac55026cf4b-m.jpg,Vegetarian,Breakfast and Snack,Blueberry Greek Yogurt Parfait,236,14,29,7,16,62,"Low Fat Vanilla Greek Yogurt, Blueberries, Granola"
https://readyfitgo.com/assets/products/1655460438_braised-beef-polenta_62ac52560fc8c-m.jpg,,,Braised Beef & Polenta Large,298,30,26,7,2,238,"Roast Beef* (Beef Knuckle Tip, Water, Red Wine, Onions, Garlic, Sea Salt , Black Pepper, Allspice, Rosemary), Polenta, Spinach, Carrots"
https://readyfitgo.com/assets/products/1655460438_braised-beef-polenta_62ac52560fc8c-m.jpg,,,Braised Beef & Polenta Small,246,22,26,5,2,185,"Polenta, Roast Beef* (Beef Knuckle Tip, Water, Red Wine, Onions, Garlic, Sea Salt , Black Pepper, Allspice, Rosemary), Spinach, Carrots"
https://readyfitgo.com/assets/products/1684518289_995a8455-2_6467b5917abc6-m.jpg,,Breakfast,Breakfast Burrito,533,27,42,29,6,1098,"Egg scrambled, Potatoes, Cured Pork Bacon, Pico de Gallo* (Red Tomatoes, Onions, Jalapeno, Cilantro fresh, Salt, Black Pepper), Cheddar Cheese), 
Red Salsa* (Jalapeno Peppers, Lemon Juice, Whole--wheat Tortillas"
https://readyfitgo.com/assets/products/1655461116_breakfast-tacos_62ac54fc2215b-m.jpg,,Breakfast,Breakfast Tacos Large,475,33,32,25,4,1017,"Ground Turkey, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper), Egg cooked, scrambled, Red Salsa* 
(Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), Tortillas, Red Tomatoes, Cheddar Cheese)"
https://readyfitgo.com/assets/products/1655461116_breakfast-tacos_62ac54fc2215b-m.jpg,,Breakfast,Breakfast Tacos Small,322,22,22,17,4,765,"Ground Turkey, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper), Egg cooked, scrambled, Red Salsa* 
(Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), Tortillas, Red Tomatoes, Cheddar Cheese)"
https://readyfitgo.com/assets/products/1655461109_buffalo-chicken-mashed-cauliflower_62ac54f5ad456-m.jpg,,,Buffalo Chicken Large,258,33,7,12,4,754,"Cauliflower mashed* (Cauliflower, Unsweetened Almond Milk, Jalapeno, Salt & Pepper Blend* (Sea Salt , Black Pepper), Garlic), 
Buffalo Chicken* (Chicken Thigh, Buffalo Sauce )"
https://readyfitgo.com/assets/products/1655461109_buffalo-chicken-mashed-cauliflower_62ac54f5ad456-m.jpg,,,Buffalo Chicken Small,182,23,5,8,3,537,"Cauliflower mashed* (Cauliflower, Unsweetened Almond Milk, Jalapeno, Salt & Pepper Blend* (Sea Salt , Black Pepper), Garlic), 
Buffalo Chicken* (Chicken Thigh, Buffalo Sauce )"
https://readyfitgo.com/assets/products/1685332329_995a3507_64742169ab7fd-m.jpg,,Snack,Buffalo Chicken Wrap,699,56,28,41,4,1663,"Buffalo Chicken* (Chicken Thigh, Buffalo Sauce ), Spinach, Whole--wheat Tortillas, Ranch Dressing"
https://readyfitgo.com/assets/products/1686263221_25-imgl3873_648255b5a93ea-m.jpg,,,California Chili,361,47,18,10,7,219,"California Chili* (Chicken Thighs* (Chicken Thigh, Water, Onions, Coriander leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper)), 
Potatoes, Carrots, Green Snap Beans, Zucchini Summer Squash, Red Tomatoes, Peppers, hot chile, sun-dried, Cooking Wine, Baby Carrots, Red Potatoes"
https://readyfitgo.com/assets/products/1685312685_995a4744-2_6473d4ad122ce-m.jpg,,,Chicken Alfredo GF Large,561,49,54,16,6,837,"Penne Pasta Alfredo GF* (Gluten-free Pasta, Alfredo Sauce Gluten Free* (Milk, Grated Parmesan Cheese, Unsalted Butter, Gluten Free Flour, Sea Salt, Black Pepper, Garlic Powder)), 
Chicken Parmesan* (Chicken, Yellow Mustard, Nola Spice Blend* (Paprika, Onion Powder)), Broccoli, Parsley"
https://readyfitgo.com/assets/products/1685312685_995a4744-2_6473d4ad122ce-m.jpg,,,Chicken Alfredo GF Small,445,38,44,13,5,701,"Penne Pasta Alfredo GF* (Gluten-free Pasta, Alfredo Sauce Gluten Free* (Milk, Grated Parmesan Cheese, Unsalted Butter, Gluten Free Flour, Sea Salt, Black Pepper), Garlic Powder)), 
Chicken Parmesan* (Chicken, Yellow Mustard, Nola Spice Blend* (Paprika, Onion Powder)), Broccoli, Parsley"
https://readyfitgo.com/assets/products/1686206830_18-imgl3841_6481796ec1224-m.jpg,,Snack,Chicken Crunch,203,23,15,6,7,395,"Chicken Salad* (Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), 
Celery, Craisins , Low Fat Vanilla Greek Yogurt, Mayonnaise ), Baby Carrots, Crackers, saltines, fat-free, low-sodium"
https://readyfitgo.com/assets/products/1655460705_chicken-crunch-salad_62ac5361986ff-m.jpg,,,Chicken Crunch Salad,540,38,26,32,14,850,"Salad Mix* (Lettuce), Chicken Salad* (Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Celery, Craisins , Low Fat Vanilla Greek Yogurt, Mayonnaise ), Balsamic Vinaigrette Dressing , Almonds, Lemon"
https://readyfitgo.com/assets/products/1685320419_995a0311_6473f2e3c8e3b-m.jpg,,,Chicken Curry Large,617,39,68,23,11,1131,"Curry Mix vegan* (Coconut milk, canned, Baby Carrots, Tomato Puree, Thai Curry Paste , Agave Syrup, Sea Salt , Black Pepper), Brown Rice, Basic Chicken* 
(Chicken, Garlic Powder, Paprika, Onion Powder, Black Pepper), Parsley)"
https://readyfitgo.com/assets/products/1685320419_995a0311_6473f2e3c8e3b-m.jpg,,,Chicken Curry Small,438,27,47,17,8,826,"Curry Mix vegan* (Coconut milk, canned, Baby Carrots, Tomato Puree, Thai Curry Paste , Agave Syrup, Sea Salt , Black Pepper), Brown Rice, Basic Chicken* 
(Chicken, Garlic Powder, Paprika, Onion Powder, Black Pepper), Parsley)"
https://readyfitgo.com/assets/products/1655461061_smart-chicken-enchiladas-2_62ac54c528bf3-m.jpg,,,Chicken Enchiladas,410,29,52,10,3,527,"Salsa Chicken* (Chicken Thighs* (Chicken Thigh, Water, Onions, Coriander leaves, Garlic, Sea Salt, Black Pepper), 
Red Salsa* (Red Tomatoes, Jalapeno Peppers, Cilantro, Lemon Juice), Spanish Salsa, Rice* (Brown Rice, Tortillas, Cheddar Cheese)"
https://readyfitgo.com/assets/products/1655461054_fajita-smart-chicken-bowl-3_62ac54be73d48-m.jpg,,,Chicken Fajita Bowl Large,604,56,65,13,3,942,"Brown Rice, Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt, Black Pepper)), 
Black Beans, Red Salsa* (Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), Diced Bell Pepper Mix* (Bellpepper, Red Bell Pepper, Extra Virgin Olive Oil), Cheddar Cheese"
https://readyfitgo.com/assets/products/1655461054_fajita-smart-chicken-bowl-3_62ac54be73d48-m.jpg,,,Chicken Fajita Bowl Small,480,42,53,11,3,768,"Brown Rice, Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt, Black Pepper)), 
Black Beans, Red Salsa* (Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), Diced Bell Pepper Mix* (Bellpepper, Red Bell Pepper, Extra Virgin Olive Oil), Cheddar Cheese"
https://readyfitgo.com/assets/products/1655461103_chicken-fried-rice_62ac54ef24eab-m.jpg,,,Chicken Fried Rice Large,501,37,49,17,2,466,"Fried Rice* (Brown Rice, Egg, whole, cooked, scrambled, Bellpepper , Peas and carrots, frozen, boiled, drained, without salt, Soy Sauce), 
Chicken Thighs* (Chicken Thigh, Water, Onions, Coriander leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper))"
https://readyfitgo.com/assets/products/1655461103_chicken-fried-rice_62ac54ef24eab-m.jpg,,,Chicken Fried Rice Small,376,27,38,13,1,345,"Fried Rice* (Brown Rice, Egg, whole, cooked, scrambled, Bellpepper , Peas and carrots, frozen, boiled, drained, without salt, Soy Sauce), 
Chicken Thighs* (Chicken Thigh, Water, Onions, Coriander leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper))"
https://readyfitgo.com/assets/products/1655461162_chicken-parm_62ac552aee3b3-m.jpg,,,Chicken Parmesan Large,536,47,49,16,5,808,"Penne Pasta Alfredo GF* (Gluten-free Pasta, Alfredo Sauce Gluten Free* (Milk, Grated Parmesan Cheese, Unsalted Butter, Gluten Free Flour, Sea Salt, Black Pepper), Garlic Powder), 
Chicken Parmesan* (Chicken, Yellow Mustard, Nola Spice Blend* (Paprika, Onion Powder)), Parsley"
https://readyfitgo.com/assets/products/1655461162_chicken-parm_62ac552aee3b3-m.jpg,,,Chicken Parmesan Small,420,36,38,13,4,670,"Penne Pasta Alfredo GF* (Gluten-free Pasta, Alfredo Sauce Gluten Free* (Milk, Grated Parmesan Cheese, Unsalted Butter, Gluten Free Flour, Sea Salt, Black Pepper), Garlic Powder)), 
Chicken Parmesan* (Chicken, Yellow Mustard, Nola Spice Blend* (Paprika, Onion Powder)), Parsley"
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Chicken Scrambler Large,379,47,6,18,2,569,"Chicken Parmesan* (Chicken, Grated Parmesan Cheese, Yellow Mustard, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Egg scrambled, Bellpepper, 
Parmesan Cheese, Parsley"
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Chicken Scrambler Small,326,37,5,17,2,512,"Chicken Parmesan* (Chicken, Grated Parmesan Cheese, Yellow Mustard, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Egg scrambled, Bellpepper, 
Parmesan Cheese, Parsley"
https://readyfitgo.com/assets/products/1655461048_southwest-chicken-stuffed-pepper-3_62ac54b817087-m.jpg,,,Chicken Stuffed Peppers,381,27,43,12,5,429,"Brown Rice, Red Salsa* (Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), Salsa Chicken* (Chicken Thigh, Water, Coriander leaves, Garlic, Sea Salt, Black Pepper), 
Pico de Gallo* (Red Bell Pepper, Lime)), Beans, black turtle, mature seeds, cooked, boiled, Cheddar Cheese, Corn"
https://readyfitgo.com/assets/products/1685320407_995a0314_6473f2d785b5b-m.jpg,,,Chicken Tikka Masala Large,545,39,61,17,6,551,"Brown Rice, Masala Mix Vegan* (Coconut milk, Tomato Puree, Cauliflower, Onions, Red Bell Pepper, Garlic Powder, Agave Syrup, Sauce Curry Tikka Masala, Sea Salt, Cumin, Ginger, Coriander, Turmeric, Paprika),
 Basic Chicken* (Chicken, Paprika, Onion Powder, Salt & Pepper Blend* (Sea Salt , Black Pepper), Parsley)"
https://readyfitgo.com/assets/products/1685320407_995a0314_6473f2d785b5b-m.jpg,,,Chicken Tikka Masala Small,370,27,41,11,4,381,"Brown Rice, Masala Mix Vegan* (Coconut milk, Tomato Puree, Cauliflower, Onions, Red Bell Pepper, Garlic Powder, Agave Syrup, Sauce Curry Tikka Masala, Sea Salt, Cumin, Ginger, Coriander, Turmeric, Paprika), 
Basic Chicken* (Chicken, Paprika, Onion Powder, Salt & Pepper Blend* (Sea Salt , Black Pepper), Parsley)"
https://readyfitgo.com/assets/products/1704049844_995a4807-2_1_6591bcb4dc076-m.jpg,,,Chimichurri Steak Large,567,41,31,31,5,605,
https://readyfitgo.com/assets/products/1704049844_995a4807-2_1_6591bcb4dc076-m.jpg,,,Chimichurri Steak Small,432,29,28,23,4,432,
https://readyfitgo.com/assets/products/1655461096_cilantro-lime-turkey_62ac54e8a7382-m.jpg,,,Cilantro Lime Turkey Large,350,23,36,11,1,350,"Cilantro Turkey* (Ground Turkey 90/10 , Water, Lime juice, Cilantro, Salt & Pepper Blend* (Sea Salt , Black Pepper), Garlic Powder), Brown Rice, Lime"
https://readyfitgo.com/assets/products/1655461096_cilantro-lime-turkey_62ac54e8a7382-m.jpg,,,Cilantro Lime Turkey Small,300,17,36,8,1,250,"Brown Rice, Cilantro Turkey* (Ground Turkey 90/10 , Water, Lime juice, Cilantro, Salt & Pepper Blend* (Sea Salt , Black Pepper), Garlic Powder), Lime"
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,,Classic Steak & Eggs Large,516,48,33,20,6,661,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt, Black Pepper)), Steak (Tri Tip) Diced* 
(Beef, Worcestershire Sauce, Teriyaki Sauce Gluten Free* (Water, Honey, Soy Sauce, Dark Brown Sugar, Rice Vinegar, Gluten Free Flour, Ground ginger), Steak Seasoning), Egg, whole, cooked, scrambled"
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,,Classic Steak & Eggs Small,443,38,32,17,5,535,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt, Black Pepper)), Steak (Tri Tip) Diced* 
(Beef, Worcestershire Sauce, Teriyaki Sauce Gluten Free* (Water, Honey, Soy Sauce, Dark Brown Sugar, Rice Vinegar, Gluten Free Flour, Ground ginger), Steak Seasoning), Egg, whole, cooked, scrambled"
https://readyfitgo.com/assets/products/1685645703_29-imgl3894_6478e987399f7-m.jpg,Vegetarian,Breakfast and Snack,Coconut Cranberry GoGo Bites (5 Balls),531,15,65,25,46,102,"Coconut Flakes, Coconut milk, Honey, Dried Cranberries, Peanut Butter, Oats, Protein Powder , Vanilla extract"
https://readyfitgo.com/assets/products/1655460609_cranberry-almond-salad_62ac53010cb6a-m.jpg,Vegetarian,,Cranberry Almond Salad,640,45,41,35,27,1170,"Salad Mix* (Green Leaf Lettuce, Lettuce), Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Balsamic Vinaigrette Dressing, Craisins, Feta Cheese, Almonds"
https://readyfitgo.com/assets/products/1655460609_cranberry-almond-salad_62ac53010cb6a-m.jpg,Vegetarian,,"Cranberry Almond Salad (w/o sides, Vinaigrette, Almonds, Feta)",362,38,46,5,33,519,"Salad Mix* (Lettuce), Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Craisins"
https://readyfitgo.com/assets/products/1655460615_cranberry-side-salad_62ac530785b77-m.jpg,Vegetarian,Snack,Cranberry Side Salad,350,6,31,23,25,680,"Salad Mix* (Lettuce), Balsamic Vinaigrette Dressing, Craisins, Feta Cheese"
https://readyfitgo.com/assets/products/1655460922_steak-snack-tacos-3_62ac543a53dce-m.jpg,,Snack,Crazy Cow Tacos,222,22,20,6,1,113,"Beef Knuckle Tip, Tortillas, Pico de Gallo* (Red Tomatoes, Onions, Jalapeno, Cilantro fresh, Salt, Black Pepper), Lime"
https://readyfitgo.com/assets/products/1655460787_dill-salmon_62ac53b30ec72-m.jpg,,,Dill Salmon Large,600,42,41,29,1,870,"Salmon Citrus 6oz* (Salmon, Lemon Pepper , Dried dill weed), Brown Rice, Broccoli, Dill Sauce* (Mayonnaise , Lemon Juice, Dried dill weed, Sea Salt , Black Pepper)"
https://readyfitgo.com/assets/products/1655460787_dill-salmon_62ac53b30ec72-m.jpg,,,Dill Salmon Small,490,32,35,24,1,610,"Brown Rice, Salmon Citrus 4.5oz* (Salmon, Lemon Pepper , Dried dill weed), Broccoli, Dill Sauce* (Mayonnaise , Lemon Juice, Dried dill weed, Sea Salt , Black Pepper)"
https://readyfitgo.com/assets/products/1655461014_fajita-steak-bowl-3_62ac5496a8f43-m.jpg,,,Fajita Steak Bowl Large,606,48,65,16,5,790,"Brown Rice, Steak (Tri Tip) Diced* (Beef, Worcestershire Sauce, Teriyaki Sauce Gluten Free* (
Water, Honey, Soy Sauce, Dark Brown Sugar, Rice Vinegar, Garlic Powder, Gluten Free Flour, Ground ginger), Steak Seasoning), Black Beans, Red Salsa* 
(Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), Diced Bell Pepper Mix* (Bellpepper, Red Bell Pepper, Extra Virgin Olive Oil), Cheddar Cheese"
https://readyfitgo.com/assets/products/1655461014_fajita-steak-bowl-3_62ac5496a8f43-m.jpg,,,Fajita Steak Bowl Small,319,13,51,7,3,378,"Brown Rice, Steak (Tri Tip) Diced* (Beef, Worcestershire Sauce, Teriyaki Sauce Gluten Free* (Water, Honey, Soy Sauce, Dark Brown Sugar, 
Rice Vinegar, Garlic Powder, Gluten Free Flour, Ground ginger), Steak Seasoning), Black Beans, Red Salsa* (Red Tomatoes, Jalapeno Peppers, Onions, Cilantro, Lemon Juice), 
Diced Bell Pepper Mix* (Bellpepper, Red Bell Pepper, Extra Virgin Olive Oil), Cheddar Cheese"
https://readyfitgo.com/assets/products/1655460877_fit-energy-bar_62ac540d31eee-m.jpg,Vegetarian,Breakfast and Snack,Fit Energy Bar,562,19,55,33,39,252,"Fit Energy Bar* (Peanut Butter, Granola, Honey, Cranberries dried, Coconut Oil), Blueberries, Greek Yogurt, Strawberries"
https://readyfitgo.com/assets/products/1685646281_11-imgl3814_6478ebc97cded-m.jpg,,Breakfast,Good Morning Sunshine Large,600,40,41,29,3,1080,"Nola Turkey* (Ground Turkey, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Brown Rice, Egg scrambled, Pico de Gallo* (Red Tomatoes, Onions, Jalapeno, Cilantro fresh, Salt, Black Pepper), Cheddar Cheese"
https://readyfitgo.com/assets/products/1685646281_11-imgl3814_6478ebc97cded-m.jpg,,Breakfast,Good Morning Sunshine Small,500,32,32,25,2,840,"Nola Turkey* (Ground Turkey, Nola Spice Blend (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Egg scrambled, Brown Rice, Cheddar Cheese, Pico de Gallo custom (Red Tomatoes, Onions, Jalapeno, Cilantro fresh, Salt, Black Pepper)"
https://readyfitgo.com/assets/products/1684529747_995a3443_1_6467e25315a66-m.jpg,,Breakfast,Ham & Cheese English Muffin,498,25,50,23,9,598,"Sweet Potatoes & Peppers* (Sweet potato, Diced Bell Pepper Mix* (Bellpepper , Red Bell Pepper , Extra Virgin Olive Oil , Sea Salt , Black Pepper)), 
Ham and Cheese Sandwich only* (English Wheat Muffin, Egg, Cheddar Cheese)"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Honey Garlic Salmon Large,498,43,34,22,28,1389,"Salmon, Cauliflower mashed* (Cauliflower, Unsweetened Almond Milk, Jalapeno, Salt & Pepper Blend* (Sea Salt , Black Pepper), Garlic), Green Snap Beans, 
Honey Garlic Sauce* (Honey, Soy Sauce, Onions, Garlic, Ginger root)"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Honey Garlic Salmon Small,369,33,24,17,17,778,"Salmon, Cauliflower mashed* (Cauliflower, Unsweetened Almond Milk, Jalapeno, Salt & Pepper Blend* (Sea Salt , Black Pepper), Garlic), Green Snap Beans, 
Honey Garlic Sauce* (Honey, Soy Sauce, Onions, Garlic, Ginger root)"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Honey Mustard Salmon Large,525,43,40,22,14,225,"Salmon, Green Snap Beans, Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), Honey Mustard* (Honey, Yellow Mustard)"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Honey Mustard Salmon Small,438,33,40,16,14,199,"Salmon, Green Snap Beans, Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), Honey Mustard* (Honey, Yellow Mustard)"
